datetime,atr
2023-02-07,6.3211
2023-02-08,6.2373
2023-02-09,6.4041
2023-02-10,6.1865
2023-02-13,6.0892
2023-02-14,6.1114
2023-02-15,5.9957
2023-02-16,5.9757
2023-02-17,5.8446
2023-02-21,6.0171
2023-02-22,5.8746
2023-02-23,5.8710
2023-02-24,5.9424
2023-02-27,5.8611
2023-02-28,5.6613
2023-03-01,5.4883
2023-03-02,5.5409
2023-03-03,5.6093
2023-03-06,5.4491
2023-03-07,5.5524
2023-03-08,5.3739
2023-03-09,5.7555
2023-03-10,5.9624
2023-03-13,6.2174
2023-03-14,6.3388
2023-03-15,6.4467
2023-03-16,6.6979
2023-03-17,6.6430
2023-03-20,6.4619
2023-03-21,6.3982
2023-03-22,6.6724
2023-03-23,6.8232
2023-03-24,6.7878
2023-03-27,6.5387
2023-03-28,6.2682
2023-03-29,6.2415
2023-03-30,6.0062
2023-03-31,5.9982
2023-04-03,5.7754
2023-04-04,5.6913
2023-04-05,5.4827
2023-04-06,5.3579
2023-04-10,5.2362
2023-04-11,5.0208
2023-04-12,4.9941
2023-04-13,5.0478
2023-04-14,5.0402
2023-04-17,4.8819
2023-04-18,4.7395
2023-04-19,4.6059
2023-04-20,4.5485
2023-04-21,4.3997
2023-04-24,4.2588
2023-04-25,4.4185
2023-04-26,4.3878
2023-04-27,4.6589
2023-04-28,4.6427
2023-05-01,4.4763
2023-05-02,4.6962
2023-05-03,4.7889
2023-05-04,4.7471
2023-05-05,5.0109
2023-05-08,4.7905
2023-05-09,4.5922
2023-05-10,4.6618
2023-05-11,4.5309
2023-05-12,4.5280
2023-05-15,4.4291
2023-05-16,4.3071
2023-05-17,4.3928
2023-05-18,4.4299
2023-05-19,4.3500
2023-05-22,4.2526
2023-05-23,4.3075
2023-05-24,4.2953
2023-05-25,4.3442
2023-05-26,4.4634
2023-05-30,4.4144
2023-05-31,4.3770
2023-06-01,4.4946
2023-06-02,4.6591
2023-06-05,4.5544
2023-06-06,4.4107
2023-06-07,4.3419
2023-06-08,4.2971
2023-06-09,4.2091
